A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
n 7094 26831
n 11575 14533
n 21898 27361
n 1063 28618
n 20001 20736
n 16773 22393
n 23960 24690
n 10597 27074
n 30022 14373
n 4711 19074
n 18862 15741
n 20586 12442
n 31157 27036
n 22088 29777
n 17290 9293
n 8822 29622
n 1475 20015
n 9131 20449
n 6721 11072
n 25753 26781
n 9429 22871
n 18362 29130
n 20144 23003
n 460 12940
n 1380 5222
n 24753 14094
n 17173 9431
n 18476 8986
n 13812 16662
n 15633 19925
n 12671 29847
n 4855 27908
n 5699 6608
n 11541 1591
n 12270 6954
n 24941 12424
n 20011 29318
n 22265 15253
n 29482 13973
n 22508 3957
n 28721 1157
n 26039 16616
n 16785 4011
n 15802 25940
n 3990 7959
n 21210 15691
n 12752 19530
n 15486 20735
n 24640 19643
n 22023 22754
n 25247 19947
n 23337 10841
n 25476 21265
n 31957 11580
n 10164 7008
n 4891 21293
n 32509 28157
n 4946 29656
n 31167 17731
n 20718 10047
n 16734 19272
n 16048 27892
n 28153 9758
n 10525 4548
n 30147 4221
n 23217 14874
n 17626 1639
n 12386 9816
n 32626 3615
n 691 4704
n 12496 784
n 26397 23871
n 10758 22226
n 9945 10719
n 5205 19423
n 2141 10436
n 5705 733
n 27921 402
n 11548 5785
n 19066 5206
n 12490 4074
n 14335 13260
n 31948 8976
n 7064 25213
n 27246 10831
n 31519 18195
n 6297 24269
n 5612 2929
n 24892 28445
n 9656 28881
n 30705 7024
n 28942 26598
n 14089 21061
n 26946 17539
n 29526 27027
n 12742 25825
n 27465 22722
n 21413 15614
n 21903 26119
n 2010 23971
m 14933 26435
m 30659 1148
m 14008 180
m 621 18886
m 24718 27263
m 23163 25517
m 4039 20013
m 12103 1160
m 8738 18351
m 5008 23809
m 30135 8901
m 30168 14991
m 26872 9409
m 2239 5719
m 22060 24743
m 29521 3081
m 7354 5753
m 15020 16674
m 18884 10930
m 12770 12913
m 17423 3163
m 19866 21841
m 30079 25552
m 24321 11398
m 29091 1840
m 31481 8896
m 14454 13640
m 24066 23215
m 12032 17125
m 21375 24384
m 18598 20329
m 9363 12223
m 18980 3260
m 5008 12625
m 18059 15218
m 17682 20565
m 9182 27134
m 29704 26253
m 13044 15279
m 7695 2979
m 27535 3424
m 9443 9992
m 16573 11057
m 26329 10244
m 463 212
m 10449 17829
m 24721 24331
m 15840 16926
m 12699 25360
m 18347 22613
m 14816 26644
m 6034 26711
m 14042 22691
m 22747 16722
m 10235 16869
m 12111 19067
m 13985 26869
m 24233 10352
m 21189 25892
m 10951 1314
m 24232 4110
m 12708 8985
m 18452 20901
m 16502 8239
m 15624 22273
m 4705 13681
m 28942 6245
m 19949 2422
m 17369 21500
