A 10 B 10 C 7000 D 10000
<<<<<<< HEAD
n 15601 1635
n 21114 7868
n 15186 18084
n 11373 8821
n 20900 11168
n 23535 2935
n 11127 15696
n 21571 22155
n 32309 16848
n 18410 3666
m 20976 22678
m 25988 5368
m 30174 18934
m 19933 9032
m 29539 17742
m 8567 27191
m 2291 22833
m 7487 24086
m 7686 29737
m 21396 7427
=======
n 15307 14184
n 24617 2749
n 26524 14575
n 9079 21048
n 30835 20741
n 30463 22534
n 29610 28611
n 16603 8422
n 30038 26758
n 25076 28381
m 22346 15400
m 9348 25801
m 32989 28275
m 28301 11164
m 16750 28694
m 6439 14787
m 28906 10093
m 12384 28607
m 24859 26386
m 18828 20850
>>>>>>> ce7dc34 (plot e problema do solver otimo)
